0,1,2,3
440000000,广东省,广东省,广东省
440100000,广州市,广东省广州市,广东省广州市
440103000,荔湾区,广东省广州市荔湾区,广东省广州市荔湾区
440103001,沙面街道,广东省广州市荔湾区沙面街道,广东省广州市荔湾区沙面街道
440103002,岭南街道,广东省广州市荔湾区岭南街道,广东省广州市荔湾区岭南街道
440103003,华林街道,广东省广州市荔湾区华林街道,广东省广州市荔湾区华林街道
440103004,多宝街道,广东省广州市荔湾区多宝街道,广东省广州市荔湾区多宝街道
440103005,昌华街道,广东省广州市荔湾区昌华街道,广东省广州市荔湾区昌华街道
440103006,逢源街道,广东省广州市荔湾区逢源街道,广东省广州市荔湾区逢源街道
440103007,龙津街道,广东省广州市荔湾区龙津街道,广东省广州市荔湾区龙津街道
440103008,金花街道,广东省广州市荔湾区金花街道,广东省广州市荔湾区金花街道
440103009,彩虹街道,广东省广州市荔湾区彩虹街道,广东省广州市荔湾区彩虹街道
440103010,南源街道,广东省广州市荔湾区南源街道,广东省广州市荔湾区南源街道
440103011,西村街道,广东省广州市荔湾区西村街道,广东省广州市荔湾区西村街道
440103012,站前街道,广东省广州市荔湾区站前街道,广东省广州市荔湾区站前街道
440103013,桥中街道,广东省广州市荔湾区桥中街道,广东省广州市荔湾区桥中街道
440103014,白鹤洞街道,广东省广州市荔湾区白鹤洞街道,广东省广州市荔湾区白鹤洞街道
440103015,冲口街道,广东省广州市荔湾区冲口街道,广东省广州市荔湾区冲口街道
440103016,花地街道,广东省广州市荔湾区花地街道,广东省广州市荔湾区花地街道
440103017,石围塘街道,广东省广州市荔湾区石围塘街道,广东省广州市荔湾区石围塘街道
440103018,茶滘街道,广东省广州市荔湾区茶滘街道,广东省广州市荔湾区茶滘街道
440103019,东漖街道,广东省广州市荔湾区东漖街道,广东省广州市荔湾区东漖街道
440103020,海龙街道,广东省广州市荔湾区海龙街道,广东省广州市荔湾区海龙街道
440103021,东沙街道,广东省广州市荔湾区东沙街道,广东省广州市荔湾区东沙街道
440103022,中南街道,广东省广州市荔湾区中南街道,广东省广州市荔湾区中南街道
440103999,不详乡镇,广东省广州市荔湾区不详乡镇,广东省广州市荔湾区不详乡镇
440104000,越秀区,广东省广州市越秀区,广东省广州市越秀区
440104001,洪桥街道,广东省广州市越秀区洪桥街道,广东省广州市越秀区洪桥街道
440104003,北京街道,广东省广州市越秀区北京街道,广东省广州市越秀区北京街道
440104004,六榕街道,广东省广州市越秀区六榕街道,广东省广州市越秀区六榕街道
440104005,流花街道,广东省广州市越秀区流花街道,广东省广州市越秀区流花街道
440104007,光塔街道,广东省广州市越秀区光塔街道,广东省广州市越秀区光塔街道
440104010,人民街道,广东省广州市越秀区人民街道,广东省广州市越秀区人民街道
440104011,东山街道,广东省广州市越秀区东山街道,广东省广州市越秀区东山街道
440104012,农林街道,广东省广州市越秀区农林街道,广东省广州市越秀区农林街道
440104013,梅花村街道,广东省广州市越秀区梅花村街道,广东省广州市越秀区梅花村街道
440104014,黄花岗街道,广东省广州市越秀区黄花岗街道,广东省广州市越秀区黄花岗街道
440104015,华乐街道,广东省广州市越秀区华乐街道,广东省广州市越秀区华乐街道
440104017,大塘街道,广东省广州市越秀区大塘街道,广东省广州市越秀区大塘街道
440104018,珠光街道,广东省广州市越秀区珠光街道,广东省广州市越秀区珠光街道
440104019,大东街道,广东省广州市越秀区大东街道,广东省广州市越秀区大东街道
440104020,白云街道,广东省广州市越秀区白云街道,广东省广州市越秀区白云街道
440104021,登峰街道,广东省广州市越秀区登峰街道,广东省广州市越秀区登峰街道
440104022,矿泉街道,广东省广州市越秀区矿泉街道,广东省广州市越秀区矿泉街道
440104024,建设街道,广东省广州市越秀区建设街道,广东省广州市越秀区建设街道
440104999,不详乡镇,广东省广州市越秀区不详乡镇,广东省广州市越秀区不详乡镇
440105000,海珠区,广东省广州市海珠区,广东省广州市海珠区
440105001,赤岗街道,广东省广州市海珠区赤岗街道,广东省广州市海珠区赤岗街道
440105002,新港街道,广东省广州市海珠区新港街道,广东省广州市海珠区新港街道
440105003,昌岗街道,广东省广州市海珠区昌岗街道,广东省广州市海珠区昌岗街道
440105004,江南中街道,广东省广州市海珠区江南中街道,广东省广州市海珠区江南中街道
440105005,滨江街道,广东省广州市海珠区滨江街道,广东省广州市海珠区滨江街道
440105006,素社街道,广东省广州市海珠区素社街道,广东省广州市海珠区素社街道
440105007,海幢街道,广东省广州市海珠区海幢街道,广东省广州市海珠区海幢街道
440105008,南华西街道,广东省广州市海珠区南华西街道,广东省广州市海珠区南华西街道
440105009,龙凤街道,广东省广州市海珠区龙凤街道,广东省广州市海珠区龙凤街道
440105010,沙园街道,广东省广州市海珠区沙园街道,广东省广州市海珠区沙园街道
440105011,南石头街道,广东省广州市海珠区南石头街道,广东省广州市海珠区南石头街道
440105012,凤阳街道,广东省广州市海珠区凤阳街道,广东省广州市海珠区凤阳街道
440105013,瑞宝街道,广东省广州市海珠区瑞宝街道,广东省广州市海珠区瑞宝街道
440105014,江海街道,广东省广州市海珠区江海街道,广东省广州市海珠区江海街道
440105015,琶洲街道,广东省广州市海珠区琶洲街道,广东省广州市海珠区琶洲街道
440105016,南洲街道,广东省广州市海珠区南洲街道,广东省广州市海珠区南洲街道
440105017,华洲街道,广东省广州市海珠区华洲街道,广东省广州市海珠区华洲街道
440105018,官洲街道,广东省广州市海珠区官洲街道,广东省广州市海珠区官洲街道
440105999,不详乡镇,广东省广州市海珠区不详乡镇,广东省广州市海珠区不详乡镇
440106000,天河区,广东省广州市天河区,广东省广州市天河区
440106001,五山街道,广东省广州市天河区五山街道,广东省广州市天河区五山街道
440106002,员村街道,广东省广州市天河区员村街道,广东省广州市天河区员村街道
440106003,车陂街道,广东省广州市天河区车陂街道,广东省广州市天河区车陂街道
440106004,沙河街道,广东省广州市天河区沙河街道,广东省广州市天河区沙河街道
440106006,石牌街道,广东省广州市天河区石牌街道,广东省广州市天河区石牌街道
440106007,沙东街道,广东省广州市天河区沙东街道,广东省广州市天河区沙东街道
440106008,天河南街道,广东省广州市天河区天河南街道,广东省广州市天河区天河南街道
440106009,林和街道,广东省广州市天河区林和街道,广东省广州市天河区林和街道
440106010,兴华街道,广东省广州市天河区兴华街道,广东省广州市天河区兴华街道
440106011,棠下街道,广东省广州市天河区棠下街道,广东省广州市天河区棠下街道
440106012,天园街道,广东省广州市天河区天园街道,广东省广州市天河区天园街道
440106013,猎德街道,广东省广州市天河区猎德街道,广东省广州市天河区猎德街道
440106014,冼村街道,广东省广州市天河区冼村街道,广东省广州市天河区冼村街道
440106015,元岗街道,广东省广州市天河区元岗街道,广东省广州市天河区元岗街道
440106016,黄村街道,广东省广州市天河区黄村街道,广东省广州市天河区黄村街道
440106017,凤凰街道,广东省广州市天河区凤凰街道,广东省广州市天河区凤凰街道
440106018,龙洞街道,广东省广州市天河区龙洞街道,广东省广州市天河区龙洞街道
440106019,长兴街道,广东省广州市天河区长兴街道,广东省广州市天河区长兴街道
440106020,前进街道,广东省广州市天河区前进街道,广东省广州市天河区前进街道
440106021,珠吉街道,广东省广州市天河区珠吉街道,广东省广州市天河区珠吉街道
440106022,新塘街道,广东省广州市天河区新塘街道,广东省广州市天河区新塘街道
440106999,不详乡镇,广东省广州市天河区不详乡镇,广东省广州市天河区不详乡镇
440111000,白云区,广东省广州市白云区,广东省广州市白云区
440111002,三元里街道,广东省广州市白云区三元里街道,广东省广州市白云区三元里街道
440111003,松洲街道,广东省广州市白云区松洲街道,广东省广州市白云区松洲街道
440111004,景泰街道,广东省广州市白云区景泰街道,广东省广州市白云区景泰街道
440111005,同德街道,广东省广州市白云区同德街道,广东省广州市白云区同德街道
440111006,黄石街道,广东省广州市白云区黄石街道,广东省广州市白云区黄石街道
440111007,棠景街道,广东省广州市白云区棠景街道,广东省广州市白云区棠景街道
440111008,新市街道,广东省广州市白云区新市街道,广东省广州市白云区新市街道
440111009,同和街道,广东省广州市白云区同和街道,广东省广州市白云区同和街道
440111010,京溪街道,广东省广州市白云区京溪街道,广东省广州市白云区京溪街道
440111011,永平街道,广东省广州市白云区永平街道,广东省广州市白云区永平街道
440111012,嘉禾街道,广东省广州市白云区嘉禾街道,广东省广州市白云区嘉禾街道
440111013,均禾街道,广东省广州市白云区均禾街道,广东省广州市白云区均禾街道
440111014,石井街道,广东省广州市白云区石井街道,广东省广州市白云区石井街道
440111015,金沙街道,广东省广州市白云区金沙街道,广东省广州市白云区金沙街道
440111016,云城街道,广东省广州市白云区云城街道,广东省广州市白云区云城街道
440111017,鹤龙街道,广东省广州市白云区鹤龙街道,广东省广州市白云区鹤龙街道
440111018,白云湖街道,广东省广州市白云区白云湖街道,广东省广州市白云区白云湖街道
440111019,石门街道,广东省广州市白云区石门街道,广东省广州市白云区石门街道
440111020,龙归街道,广东省广州市白云区龙归街道,广东省广州市白云区龙归街道
440111021,大源街道,广东省广州市白云区大源街道,广东省广州市白云区大源街道
440111103,人和镇,广东省广州市白云区人和镇,广东省广州市白云区人和镇
440111107,太和镇,广东省广州市白云区太和镇,广东省广州市白云区太和镇
440111108,钟落潭镇,广东省广州市白云区钟落潭镇,广东省广州市白云区钟落潭镇
440111113,江高镇,广东省广州市白云区江高镇,广东省广州市白云区江高镇
440111999,不详乡镇,广东省广州市白云区不详乡镇,广东省广州市白云区不详乡镇
440112000,黄埔区,广东省广州市黄埔区,广东省广州市黄埔区
440112001,黄埔街道,广东省广州市黄埔区黄埔街道,广东省广州市黄埔区黄埔街道
440112002,红山街道,广东省广州市黄埔区红山街道,广东省广州市黄埔区红山街道
440112003,鱼珠街道,广东省广州市黄埔区鱼珠街道,广东省广州市黄埔区鱼珠街道
440112005,大沙街道,广东省广州市黄埔区大沙街道,广东省广州市黄埔区大沙街道
440112006,文冲街道,广东省广州市黄埔区文冲街道,广东省广州市黄埔区文冲街道
440112007,穗东街道,广东省广州市黄埔区穗东街道,广东省广州市黄埔区穗东街道
440112008,南岗街道,广东省广州市黄埔区南岗街道,广东省广州市黄埔区南岗街道
440112010,长洲街道,广东省广州市黄埔区长洲街道,广东省广州市黄埔区长洲街道
440112011,夏港街道,广东省广州市黄埔区夏港街道,广东省广州市黄埔区夏港街道
440112012,萝岗街道,广东省广州市黄埔区萝岗街道,广东省广州市黄埔区萝岗街道
440112014,联和街道,广东省广州市黄埔区联和街道,广东省广州市黄埔区联和街道
440112015,永和街道,广东省广州市黄埔区永和街道,广东省广州市黄埔区永和街道
440112016,长岭街道,广东省广州市黄埔区长岭街道,广东省广州市黄埔区长岭街道
440112017,云埔街道,广东省广州市黄埔区云埔街道,广东省广州市黄埔区云埔街道
440112018,龙湖街道,广东省广州市黄埔区龙湖街道,广东省广州市黄埔区龙湖街道
440112019,九佛街道,广东省广州市黄埔区九佛街道,广东省广州市黄埔区九佛街道
440112100,新龙镇,广东省广州市黄埔区新龙镇,广东省广州市黄埔区新龙镇
440112999,不详乡镇,广东省广州市黄埔区不详乡镇,广东省广州市黄埔区不详乡镇
440113000,番禺区,广东省广州市番禺区,广东省广州市番禺区
440113002,沙湾街道,广东省广州市番禺区沙湾街道,广东省广州市番禺区沙湾街道
440113003,钟村街道,广东省广州市番禺区钟村街道,广东省广州市番禺区钟村街道
440113004,大石街道,广东省广州市番禺区大石街道,广东省广州市番禺区大石街道
440113005,市桥街道,广东省广州市番禺区市桥街道,广东省广州市番禺区市桥街道
440113006,沙头街道,广东省广州市番禺区沙头街道,广东省广州市番禺区沙头街道
440113007,东环街道,广东省广州市番禺区东环街道,广东省广州市番禺区东环街道
440113008,桥南街道,广东省广州市番禺区桥南街道,广东省广州市番禺区桥南街道
440113009,小谷围街道,广东省广州市番禺区小谷围街道,广东省广州市番禺区小谷围街道
440113010,洛浦街道,广东省广州市番禺区洛浦街道,广东省广州市番禺区洛浦街道
440113011,石壁街道,广东省广州市番禺区石壁街道,广东省广州市番禺区石壁街道
440113012,大龙街道,广东省广州市番禺区大龙街道,广东省广州市番禺区大龙街道
440113103,南村镇,广东省广州市番禺区南村镇,广东省广州市番禺区南村镇
440113104,新造镇,广东省广州市番禺区新造镇,广东省广州市番禺区新造镇
440113105,化龙镇,广东省广州市番禺区化龙镇,广东省广州市番禺区化龙镇
440113106,石楼镇,广东省广州市番禺区石楼镇,广东省广州市番禺区石楼镇
440113196,石基镇,广东省广州市番禺区石基镇,广东省广州市番禺区石基镇
440113999,不详乡镇,广东省广州市番禺区不详乡镇,广东省广州市番禺区不详乡镇
440114000,花都区,广东省广州市花都区,广东省广州市花都区
440114001,新华街道,广东省广州市花都区新华街道,广东省广州市花都区新华街道
440114002,新雅街道,广东省广州市花都区新雅街道,广东省广州市花都区新雅街道
440114003,花城街道,广东省广州市花都区花城街道,广东省广州市花都区花城街道
440114004,秀全街道,广东省广州市花都区秀全街道,广东省广州市花都区秀全街道
440114103,梯面镇,广东省广州市花都区梯面镇,广东省广州市花都区梯面镇
440114104,花山镇,广东省广州市花都区花山镇,广东省广州市花都区花山镇
440114105,花东镇,广东省广州市花都区花东镇,广东省广州市花都区花东镇
440114107,炭步镇,广东省广州市花都区炭步镇,广东省广州市花都区炭步镇
440114108,赤坭镇,广东省广州市花都区赤坭镇,广东省广州市花都区赤坭镇
440114109,狮岭镇,广东省广州市花都区狮岭镇,广东省广州市花都区狮岭镇
440114999,不详乡镇,广东省广州市花都区不详乡镇,广东省广州市花都区不详乡镇
440115000,南沙区,广东省广州市南沙区,广东省广州市南沙区
440115001,南沙街道,广东省广州市南沙区南沙街道,广东省广州市南沙区南沙街道
440115002,珠江街道,广东省广州市南沙区珠江街道,广东省广州市南沙区珠江街道
440115003,龙穴街道,广东省广州市南沙区龙穴街道,广东省广州市南沙区龙穴街道
440115101,横沥镇,广东省广州市南沙区横沥镇,广东省广州市南沙区横沥镇
440115102,万顷沙镇,广东省广州市南沙区万顷沙镇,广东省广州市南沙区万顷沙镇
440115103,黄阁镇,广东省广州市南沙区黄阁镇,广东省广州市南沙区黄阁镇
440115104,东涌镇,广东省广州市南沙区东涌镇,广东省广州市南沙区东涌镇
440115105,大岗镇,广东省广州市南沙区大岗镇,广东省广州市南沙区大岗镇
440115106,榄核镇,广东省广州市南沙区榄核镇,广东省广州市南沙区榄核镇
440115999,不详乡镇,广东省广州市南沙区不详乡镇,广东省广州市南沙区不详乡镇
440117000,从化区,广东省广州市从化区,广东省广州市从化区
440117001,街口街道,广东省广州市从化区街口街道,广东省广州市从化区街口街道
440117002,城郊街道,广东省广州市从化区城郊街道,广东省广州市从化区城郊街道
440117003,江埔街道,广东省广州市从化区江埔街道,广东省广州市从化区江埔街道
440117100,温泉镇,广东省广州市从化区温泉镇,广东省广州市从化区温泉镇
440117101,良口镇,广东省广州市从化区良口镇,广东省广州市从化区良口镇
440117102,吕田镇,广东省广州市从化区吕田镇,广东省广州市从化区吕田镇
440117103,太平镇,广东省广州市从化区太平镇,广东省广州市从化区太平镇
440117104,鳌头镇,广东省广州市从化区鳌头镇,广东省广州市从化区鳌头镇
440117999,不详乡镇,广东省广州市从化区不详乡镇,广东省广州市从化区不详乡镇
440118000,增城区,广东省广州市增城区,广东省广州市增城区
440118001,荔城街道,广东省广州市增城区荔城街道,广东省广州市增城区荔城街道
440118002,增江街道,广东省广州市增城区增江街道,广东省广州市增城区增江街道
440118003,朱村街道,广东省广州市增城区朱村街道,广东省广州市增城区朱村街道
440118004,永宁街道,广东省广州市增城区永宁街道,广东省广州市增城区永宁街道
440118005,荔湖街道,广东省广州市增城区荔湖街道,广东省广州市增城区荔湖街道
440118006,宁西街道,广东省广州市增城区宁西街道,广东省广州市增城区宁西街道
440118100,正果镇,广东省广州市增城区正果镇,广东省广州市增城区正果镇
440118101,石滩镇,广东省广州市增城区石滩镇,广东省广州市增城区石滩镇
440118102,新塘镇,广东省广州市增城区新塘镇,广东省广州市增城区新塘镇
440118103,中新镇,广东省广州市增城区中新镇,广东省广州市增城区中新镇
440118104,派潭镇,广东省广州市增城区派潭镇,广东省广州市增城区派潭镇
440118105,小楼镇,广东省广州市增城区小楼镇,广东省广州市增城区小楼镇
440118106,仙村镇,广东省广州市增城区仙村镇,广东省广州市增城区仙村镇
440118999,不详乡镇,广东省广州市增城区不详乡镇,广东省广州市增城区不详乡镇
440199000,不详县,广东省广州市不详县,广东省广州市不详县
440199999,不详乡镇,广东省广州市不详县不详乡镇,广东省广州市不详县不详乡镇
440200000,韶关市,广东省韶关市,广东省韶关市
440203000,武江区,广东省韶关市武江区,广东省韶关市武江区
440203001,新华街道,广东省韶关市武江区新华街道,广东省韶关市武江区新华街道
440203002,惠民街道,广东省韶关市武江区惠民街道,广东省韶关市武江区惠民街道
440203100,西联镇,广东省韶关市武江区西联镇,广东省韶关市武江区西联镇
440203101,西河镇,广东省韶关市武江区西河镇,广东省韶关市武江区西河镇
440203102,重阳镇,广东省韶关市武江区重阳镇,广东省韶关市武江区重阳镇
440203103,龙归镇,广东省韶关市武江区龙归镇,广东省韶关市武江区龙归镇
440203104,江湾镇,广东省韶关市武江区江湾镇,广东省韶关市武江区江湾镇
440203999,不详乡镇,广东省韶关市武江区不详乡镇,广东省韶关市武江区不详乡镇
440204000,浈江区,广东省韶关市浈江区,广东省韶关市浈江区
440204001,东河街道,广东省韶关市浈江区东河街道,广东省韶关市浈江区东河街道
440204002,车站街道,广东省韶关市浈江区车站街道,广东省韶关市浈江区车站街道
440204006,风采街道,广东省韶关市浈江区风采街道,广东省韶关市浈江区风采街道
440204091,田螺冲办事,广东省韶关市浈江区田螺冲办事,广东省韶关市浈江区田螺冲办事
440204093,曲仁办事,广东省韶关市浈江区曲仁办事,广东省韶关市浈江区曲仁办事
440204100,新韶镇,广东省韶关市浈江区新韶镇,广东省韶关市浈江区新韶镇
440204101,乐园镇,广东省韶关市浈江区乐园镇,广东省韶关市浈江区乐园镇
440204102,花坪镇,广东省韶关市浈江区花坪镇,广东省韶关市浈江区花坪镇
440204103,犁市镇,广东省韶关市浈江区犁市镇,广东省韶关市浈江区犁市镇
440204104,十里亭镇,广东省韶关市浈江区十里亭镇,广东省韶关市浈江区十里亭镇
440204999,不详乡镇,广东省韶关市浈江区不详乡镇,广东省韶关市浈江区不详乡镇
440205000,曲江区,广东省韶关市曲江区,广东省韶关市曲江区
440205100,马坝镇,广东省韶关市曲江区马坝镇,广东省韶关市曲江区马坝镇
440205103,大塘镇,广东省韶关市曲江区大塘镇,广东省韶关市曲江区大塘镇
440205104,枫湾镇,广东省韶关市曲江区枫湾镇,广东省韶关市曲江区枫湾镇
440205105,小坑镇,广东省韶关市曲江区小坑镇,广东省韶关市曲江区小坑镇
440205106,沙溪镇,广东省韶关市曲江区沙溪镇,广东省韶关市曲江区沙溪镇
440205108,乌石镇,广东省韶关市曲江区乌石镇,广东省韶关市曲江区乌石镇
440205109,樟市镇,广东省韶关市曲江区樟市镇,广东省韶关市曲江区樟市镇
440205110,白土镇,广东省韶关市曲江区白土镇,广东省韶关市曲江区白土镇
440205119,罗坑镇,广东省韶关市曲江区罗坑镇,广东省韶关市曲江区罗坑镇
440205999,不详乡镇,广东省韶关市曲江区不详乡镇,广东省韶关市曲江区不详乡镇
440222000,始兴县,广东省韶关市始兴县,广东省韶关市始兴县
440222100,太平镇,广东省韶关市始兴县太平镇,广东省韶关市始兴县太平镇
440222101,马市镇,广东省韶关市始兴县马市镇,广东省韶关市始兴县马市镇
440222102,澄江镇,广东省韶关市始兴县澄江镇,广东省韶关市始兴县澄江镇
440222103,顿岗镇,广东省韶关市始兴县顿岗镇,广东省韶关市始兴县顿岗镇
440222104,罗坝镇,广东省韶关市始兴县罗坝镇,广东省韶关市始兴县罗坝镇
440222105,司前镇,广东省韶关市始兴县司前镇,广东省韶关市始兴县司前镇
440222106,隘子镇,广东省韶关市始兴县隘子镇,广东省韶关市始兴县隘子镇
440222107,城南镇,广东省韶关市始兴县城南镇,广东省韶关市始兴县城南镇
440222108,沈所镇,广东省韶关市始兴县沈所镇,广东省韶关市始兴县沈所镇
440222196,石人嶂,广东省韶关市始兴县石人嶂,广东省韶关市始兴县石人嶂
440222203,深渡水瑶族乡,广东省韶关市始兴县深渡水瑶族乡,广东省韶关市始兴县深渡水瑶族乡
440222999,不详乡镇,广东省韶关市始兴县不详乡镇,广东省韶关市始兴县不详乡镇
440224000,仁化县,广东省韶关市仁化县,广东省韶关市仁化县
440224001,丹霞街道,广东省韶关市仁化县丹霞街道,广东省韶关市仁化县丹霞街道
440224102,闻韶镇,广东省韶关市仁化县闻韶镇,广东省韶关市仁化县闻韶镇
440224103,扶溪镇,广东省韶关市仁化县扶溪镇,广东省韶关市仁化县扶溪镇
440224104,长江镇,广东省韶关市仁化县长江镇,广东省韶关市仁化县长江镇
440224105,城口镇,广东省韶关市仁化县城口镇,广东省韶关市仁化县城口镇
440224106,红山镇,广东省韶关市仁化县红山镇,广东省韶关市仁化县红山镇
440224107,石塘镇,广东省韶关市仁化县石塘镇,广东省韶关市仁化县石塘镇
440224108,董塘镇,广东省韶关市仁化县董塘镇,广东省韶关市仁化县董塘镇
440224109,黄坑镇,广东省韶关市仁化县黄坑镇,广东省韶关市仁化县黄坑镇
440224110,周田镇,广东省韶关市仁化县周田镇,广东省韶关市仁化县周田镇
440224111,大桥镇,广东省韶关市仁化县大桥镇,广东省韶关市仁化县大桥镇
440224999,不详乡镇,广东省韶关市仁化县不详乡镇,广东省韶关市仁化县不详乡镇
440229000,翁源县,广东省韶关市翁源县,广东省韶关市翁源县
440229100,龙仙镇,广东省韶关市翁源县龙仙镇,广东省韶关市翁源县龙仙镇
440229104,坝仔镇,广东省韶关市翁源县坝仔镇,广东省韶关市翁源县坝仔镇
440229106,江尾镇,广东省韶关市翁源县江尾镇,广东省韶关市翁源县江尾镇
440229109,官渡镇,广东省韶关市翁源县官渡镇,广东省韶关市翁源县官渡镇
440229111,周陂镇,广东省韶关市翁源县周陂镇,广东省韶关市翁源县周陂镇
440229113,翁城镇,广东省韶关市翁源县翁城镇,广东省韶关市翁源县翁城镇
440229114,新江镇,广东省韶关市翁源县新江镇,广东省韶关市翁源县新江镇
440229196,铁龙镇,广东省韶关市翁源县铁龙镇,广东省韶关市翁源县铁龙镇
440229999,不详乡镇,广东省韶关市翁源县不详乡镇,广东省韶关市翁源县不详乡镇
440232000,乳源瑶族自治县,广东省韶关市乳源瑶族自治县,广东省韶关市乳源瑶族自治县
440232100,乳城镇,广东省韶关市乳源瑶族自治县乳城镇,广东省韶关市乳源瑶族自治县乳城镇
440232103,一六镇,广东省韶关市乳源瑶族自治县一六镇,广东省韶关市乳源瑶族自治县一六镇
